date/time: .03/05/2018.12:36 p.m.
Run 1

time	V
25.012000	6.527137E+0
25.013000	6.512065E+0
25.014000	6.524625E+0
25.015000	6.512065E+0
25.016000	6.507041E+0
25.017000	6.512065E+0
25.018000	6.507041E+0
25.019000	6.512065E+0
25.020000	6.522113E+0
25.021000	6.524625E+0
25.022000	6.534674E+0
25.023000	6.549746E+0
25.024000	6.539698E+0
25.025000	6.547234E+0
25.026000	6.542210E+0
25.027000	6.532162E+0
25.028000	6.529649E+0
25.029000	6.524625E+0
25.030000	6.524625E+0
25.031000	6.519601E+0
25.032000	6.512065E+0
25.033000	6.491968E+0
25.034000	6.491968E+0
25.035000	6.484432E+0
25.036000	6.491968E+0
25.037000	6.494480E+0
25.038000	6.504529E+0
25.039000	6.514577E+0
25.040000	6.514577E+0
25.041000	6.524625E+0
25.042000	6.524625E+0
25.043000	6.549746E+0
25.044000	6.539698E+0
25.045000	6.547234E+0
25.046000	6.552258E+0
25.047000	6.554770E+0
25.048000	6.552258E+0
25.049000	6.549746E+0
25.050000	6.544722E+0
25.051000	6.534674E+0
25.052000	6.524625E+0
25.053000	6.499505E+0
25.054000	6.507041E+0
25.055000	6.502017E+0
25.056000	6.507041E+0
25.057000	6.504529E+0
25.058000	6.499505E+0
25.059000	6.504529E+0
25.060000	6.499505E+0
25.061000	6.509553E+0
25.062000	6.509553E+0
25.063000	6.532162E+0
25.064000	6.532162E+0
25.065000	6.542210E+0
25.066000	6.539698E+0
25.067000	6.534674E+0
25.068000	6.534674E+0
25.069000	6.524625E+0
25.070000	6.524625E+0
25.071000	6.524625E+0
25.072000	6.532162E+0
25.073000	6.509553E+0
25.074000	6.509553E+0
25.075000	6.499505E+0
25.076000	6.502017E+0
25.077000	6.509553E+0
25.078000	6.517089E+0
25.079000	6.524625E+0
25.080000	6.524625E+0
25.081000	6.522113E+0
25.082000	6.524625E+0
25.083000	6.549746E+0
25.084000	6.547234E+0
25.085000	6.554770E+0
25.086000	6.544722E+0
25.087000	6.539698E+0
25.088000	6.532162E+0
25.089000	6.524625E+0
25.090000	6.524625E+0
25.091000	6.517089E+0
25.092000	6.519601E+0
25.093000	6.502017E+0
25.094000	6.502017E+0
25.095000	6.491968E+0
25.096000	6.486944E+0
25.097000	6.491968E+0
25.098000	6.496993E+0
25.099000	6.512065E+0
25.100000	6.517089E+0
25.101000	6.522113E+0
25.102000	6.519601E+0
25.103000	6.537186E+0
25.104000	6.539698E+0
25.105000	6.552258E+0
